category,benefit,customer_psychology,temperature(-2cool..+2warm),weight(-2light..+2heavy),saturation(-2muted..+2vivid),contrast(-2soft..+2sharp),colors(-2mono..+2multi),common_trap
安心・信頼,堅実な信頼,任せて間違いないと思える,-1,1,-1,1,-2,紺一色になり、競合と見分けがつかなくなる
安心・信頼,相談しやすい信頼,きちんとしているのに、話しかけやすい,1,0,-1,0,-1,温かさを出そうとして彩度を上げすぎ、軽く見える
安心・信頼,守られている安心,リスクや面倒ごとから守ってもらえる,-1,0,-2,0,-2,くすませすぎて元気のない印象になる
安心・信頼,透明性・正直さ,隠しごとがなく、明朗である,-1,-2,-1,1,-2,白場が多すぎて情報が薄く見える
効率・成果,時間が浮く,手離れよく片づき、自分の時間が戻る,-1,-1,0,1,-1,事務的すぎて冷たく感じる
効率・成果,成果が出る,数字が伸び、投資が回収できる,0,1,1,2,0,強い色を多用して煽りっぽくなる
効率・成果,迷わずシンプル,説明なしで、すぐ使える,0,-2,-1,1,-2,メリハリが弱く、ボタンが埋もれる
効率・成果,スピード対応,頼んだらすぐ動いてくれる,1,0,2,2,0,警告色（赤）に寄りすぎて焦らせる
親しみ・共感,寄り添い,自分の事情をわかってくれる,2,-1,-1,-1,-1,コントラスト不足で文字が読みにくい
親しみ・共感,楽しさ・ワクワク,使うこと自体が楽しい,2,-1,2,1,2,色数が多く、ビジネス用途で信用を落とす
親しみ・共感,気軽さ,構えずに始められる,1,-2,1,0,1,安っぽさと紙一重になる
親しみ・共感,仲間・コミュニティ,同じ立場の人とつながれる,1,-1,1,0,2,色の役割が曖昧になり、導線がぼやける
上質・専門性,プロの専門性,専門家に任せられる,-1,2,-1,2,-2,重く威圧的になり、問い合わせの心理的ハードルが上がる
上質・専門性,上質・格式,特別な扱いを受けられる,0,2,-2,1,-2,黒×金の定番に収束する
上質・専門性,洗練・知的,センスのよい判断ができる,-1,0,-2,1,-1,無難なグレー基調で個性が消える
上質・専門性,伝統・安定,長く続いてきた安心感がある,1,1,-1,1,-1,古くさく見え、デジタル活用の印象と衝突する
革新・勢い,先進性・テクノロジー,最新の仕組みを使える,-2,2,1,2,0,ダーク×ネオンの定番に収束する
革新・勢い,挑戦・変革,現状を変える一歩を踏み出せる,1,1,2,2,1,強すぎて中小企業経営者が引いてしまう
革新・勢い,未来志向・スマート,これからの当たり前を先取りできる,-2,-1,1,1,1,グラデーション頼みで中身が見えない
自然・誠実,健康・ウェルネス,心身が整う,0,-2,0,-1,-1,緑を使えばよいという連想で終わる
自然・誠実,誠実・素朴,飾らず、まっすぐ向き合ってくれる,1,0,-2,-1,-1,地味すぎて埋もれる
自然・誠実,持続可能性,社会や環境に配慮した選択ができる,0,-1,-1,-1,-1,緑と茶のありがちな組み合わせになる
自然・誠実,ゆとり・癒し,気持ちに余裕が生まれる,0,-2,-2,-2,-1,コントラストが低すぎ、アクセシビリティ基準を下回る
